Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
29290001,2024-07-12,Total Access,GPLc,0,2,0
31190003,2024-05-12,Leclerc,GPLc,1,0,0
13220003,2024-02-28,Total Access,GPLc,7,0,0
31190003,2024-03-30,Auchan,GPLc,1,0,0
38150001,2024-03-07,Auchan,GPLc,1,1,0
47200008,2024-07-10,Leclerc,GPLc,3,0,2
29196001,2024-05-24,Géant,GPLc,0,0,1
38240003,2024-02-19,Total,GPLc,2,1,0
94430003,2024-02-04,BP,GPLc,0,14,0
47200008,2024-05-03,Systéme U,GPLc,1,0,0
31370001,2024-04-15,Géant,GPLc,1,0,0
15100005,2024-04-09,Intermarché,GPLc,1,0,0
69200001,2024-07-04,ENI,GPLc,0,1,0
56006001,2024-03-18,Avia,GPLc,0,1,0
22200003,2024-05-08,Total Access,GPLc,0,2,0
38150001,2024-05-26,Systéme U,GPLc,0,1,0
29300004,2024-02-29,Casino,GPLc,1,0,0
78410002,2024-03-06,BP,GPLc,0,6,0
17170003,2024-05-20,Intermarché,GPLc,0,2,0
31370001,2024-03-08,Systéme U,GPLc,1,0,1
56190011,2024-01-31,Leclerc,GPLc,2,0,0
38240003,2024-06-30,Total,GPLc,0,1,2
94430003,2024-02-12,Leclerc,GPLc,0,1,0
4000001,2024-06-10,Systéme U,GPLc,0,1,0
30900002,2024-07-24,Total Access,GPLc,0,0,2
94430003,2024-05-14,CORA,GPLc,0,1,0
38150001,2024-04-09,Auchan,GPLc,1,1,0
6156001,2024-01-21,Géant,GPLc,1,0,1
29196001,2024-04-10,Total Access,GPLc,0,0,1
34600001,2024-07-25,Dyneff,GPLc,1,0,0
69200001,2024-05-18,Dyneff,GPLc,0,1,0
38150001,2024-04-25,Intermarché,GPLc,0,1,0
38240003,2024-04-07,Total,GPLc,0,1,2
59430001,2024-02-11,Total,GPLc,1,1,0
60280001,2024-07-02,Auchan,GPLc,0,1,0
29196001,2024-01-12,Total,GPLc,0,1,0
31220002,2024-08-03,Intermarché,GPLc,1,0,0
34600001,2024-01-03,Intermarché,GPLc,1,0,0
6156001,2024-05-09,BP,GPLc,0,2,0
94430003,2024-04-03,BP,GPLc,0,14,0
29280001,2024-07-09,Géant,GPLc,0,1,0
17170003,2024-06-28,Avia,GPLc,0,1,0
78410002,2024-01-12,Avia,GPLc,0,2,0
78120003,2024-04-16,Total Access,GPLc,0,5,0
78120003,2024-05-17,Total,GPLc,0,3,0
47200008,2024-07-14,Systéme U,GPLc,1,0,0
29290001,2024-03-01,Géant,GPLc,0,1,0
30900002,2024-03-30,Intermarché,GPLc,1,1,0
69200001,2024-05-09,Auchan,GPLc,1,2,0
59160002,2024-01-10,Avia,GPLc,0,2,0
69200001,2024-01-30,Avia,GPLc,0,2,0
59290001,2024-01-03,Auchan,GPLc,0,3,0
34600001,2024-08-09,Intermarché,GPLc,1,0,0
69200001,2024-06-22,Systéme U,GPLc,0,1,0
59160002,2024-01-21,Avia,GPLc,0,2,0
13741001,2024-05-02,Auchan,GPLc,1,0,0
29300004,2024-02-13,Intermarché,GPLc,1,0,1
13220003,2024-04-28,Leclerc,GPLc,1,0,0
56190011,2024-04-28,Auchan,GPLc,1,0,0
17170003,2024-06-10,Total,GPLc,0,1,0
78120003,2024-02-19,Total,GPLc,0,3,0
50300001,2024-08-03,Intermarché,GPLc,0,1,0
31370001,2024-03-14,Total Access,GPLc,3,0,0
6156001,2024-05-28,Géant,GPLc,1,0,0
71100002,2024-04-24,ENI,GPLc,0,1,0
4000001,2024-01-04,Systéme U,GPLc,1,0,0
31370001,2024-04-14,Intermarché,GPLc,2,0,0
78120003,2024-06-12,Total,GPLc,0,3,0
69200001,2024-01-08,Dyneff,GPLc,0,1,0
60280001,2024-03-16,Esso,GPLc,0,1,0
13220003,2024-01-27,Total Access,GPLc,1,1,5
94430003,2024-03-21,Leclerc,GPLc,0,1,0
56190011,2024-04-19,Auchan,GPLc,1,0,0
29280001,2024-07-30,Total Access,GPLc,0,2,0
69200001,2024-01-28,Auchan,GPLc,1,2,0
69200001,2024-04-23,Auchan,GPLc,1,2,0
31220002,2024-01-14,Total,GPLc,1,1,0
69200001,2024-07-04,Total,GPLc,0,1,0
13741001,2024-07-30,Avia,GPLc,0,2,0
29280001,2024-05-03,Total,GPLc,0,1,0
69200001,2024-03-17,ENI,GPLc,0,1,0
31370001,2024-02-04,Intermarché,GPLc,2,0,0
38150001,2024-02-22,ENI,GPLc,0,1,0
69132001,2024-05-07,Esso,GPLc,0,1,0
31190003,2024-02-10,Total,GPLc,1,0,0
13741001,2024-02-03,Total,GPLc,1,2,0
71100002,2024-01-17,Auchan,GPLc,0,1,0
69200001,2024-04-06,BP,GPLc,0,3,0
17170003,2024-04-20,Intermarché,GPLc,0,2,0
13220003,2024-06-09,Leclerc,GPLc,0,0,1
17170003,2024-05-02,Total Access,GPLc,0,2,0
31190003,2024-05-11,Leclerc,GPLc,1,0,0
60280001,2024-03-14,Auchan,GPLc,0,1,0
69132001,2024-06-11,ENI,GPLc,0,1,0
71100002,2024-05-07,ENI,GPLc,0,1,0
69200001,2024-04-17,Esso,GPLc,0,1,0
35301001,2024-07-30,Intermarché,GPLc,0,1,0
69200001,2024-05-16,Auchan,GPLc,1,2,0
47200008,2024-01-19,Leclerc,GPLc,4,1,0
30900002,2024-06-19,Total,GPLc,0,1,1
31170001,2024-02-27,Auchan,GPLc,1,0,0
31370001,2024-03-14,Systéme U,GPLc,1,0,1
78410002,2024-06-26,BP,GPLc,0,5,0
38150001,2024-05-18,Leclerc,GPLc,0,1,0
13741001,2024-07-18,ENI,GPLc,0,2,0
94430003,2024-04-13,Auchan,GPLc,0,1,0
29290001,2024-07-17,Total,GPLc,0,1,0
22200003,2024-05-25,Total Access,GPLc,0,2,0
13741001,2024-07-28,Géant,GPLc,0,1,0
71100002,2024-01-03,Leclerc,GPLc,0,3,0
71100002,2024-01-02,Géant,GPLc,0,1,0
69200001,2024-05-18,Total Access,GPLc,0,1,0
60280001,2024-04-06,Auchan,GPLc,0,1,0
31220002,2024-01-06,Total,GPLc,1,1,0
78410002,2024-02-05,Avia,GPLc,0,2,0
50300001,2024-01-26,Leclerc,GPLc,1,1,0
13220003,2024-06-27,Avia,GPLc,0,2,0
59290001,2024-07-07,Systéme U,GPLc,0,1,0
74200003,2024-05-23,Total Access,GPLc,0,1,0
59290001,2024-06-29,Avia,GPLc,0,2,0
31220002,2024-02-29,Total,GPLc,1,1,0
50300001,2024-06-25,Leclerc,GPLc,1,1,0
78410002,2024-05-16,Auchan,GPLc,1,0,0
31370001,2024-02-13,Total,GPLc,1,1,0
59160002,2024-08-09,Systéme U,GPLc,0,1,0
78120003,2024-05-08,BP,GPLc,0,5,0
4000001,2024-08-03,Auchan,GPLc,0,1,0
17170003,2024-04-08,Systéme U,GPLc,1,2,0
69200001,2024-06-18,Avia,GPLc,0,2,0
69200001,2024-08-08,Roady,GPLc,0,1,0
69132001,2024-02-21,BP,GPLc,0,3,0
50300001,2024-08-06,Systéme U,GPLc,1,0,0
38240003,2024-07-08,Systéme U,GPLc,0,1,0
74200003,2024-05-29,Avia,GPLc,0,1,0
31220002,2024-03-17,Total,GPLc,1,1,0
31190003,2024-04-06,Leclerc,GPLc,1,0,0
35301001,2024-02-19,Intermarché,GPLc,0,1,0
13741001,2024-08-04,ENI,GPLc,0,2,0
34600001,2024-04-04,Auchan,GPLc,1,0,0
38150001,2024-03-03,Géant,GPLc,0,2,0
94430003,2024-04-08,Leclerc,GPLc,0,1,0
31370001,2024-08-02,Total,GPLc,1,1,0
69200001,2024-04-14,BP,GPLc,0,3,0
56006001,2024-03-26,Total,GPLc,0,1,0
78120003,2024-07-14,Auchan,GPLc,0,1,0
31170001,2024-02-23,Total,GPLc,1,0,0
50300001,2024-04-27,Intermarché,GPLc,0,1,0
59290001,2024-04-01,Avia,GPLc,0,2,0
38150001,2024-06-28,Systéme U,GPLc,0,1,0
